key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
trolluniversity_0100_npc_00_00005,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0100,Trolluniversity 0100,trolluniversity_0100,0100,trolluniversity_0100_npc_00,0100_npc_00,0100,0100,,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻧﺘﺒﻪ ﻳﺎ ﺻﺎﺡ!,ﺍﻧﺘﺒﻪ ﻳﺎ ﺻﺎﺡ!,gamedata/localizationstring_eng.paloc
trolluniversity_0100_player_00000,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0100,Trolluniversity 0100,trolluniversity_0100,0100,trolluniversity_0100_player,0100_player,0100,0100,,0,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
trolluniversity_0100_player_00002,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0100,Trolluniversity 0100,trolluniversity_0100,0100,trolluniversity_0100_player,0100_player,0100,0100,,2,player,,player,Player,Player,Player,,role,,ﻫﻤﻢ...,ﻫﻤﻢ...,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00001,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,1,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﻻ ﺑﺪ ﺃﻧﻪ ﻫﻨﺎ، ﻟﻨﻮﺍﺻﻞ ﺍﻟﺒﺤﺚ ﻗﻠﻴﻼ.,ﻻ ﺑﺪ ﺃﻧﻪ ﻫﻨﺎ، ﻟﻨﻮﺍﺻﻞ ﺍﻟﺒﺤﺚ ﻗﻠﻴﻼ.,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00003,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,3,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﻗﺮﻳﺔ؟ ﻻ ﻳﻮﺟﺪ ﺷﻲﺀ ﻫﻨﺎ.,ﻗﺮﻳﺔ؟ ﻻ ﻳﻮﺟﺪ ﺷﻲﺀ ﻫﻨﺎ.,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00004,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,4,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﺗﺄﻛﺪ ﻣﻦ ﺍﻟﺒﺤﺚ ﻋﻦ ﺃﻱ ﺃﺩﻟﺔ!,ﺗﺄﻛﺪ ﻣﻦ ﺍﻟﺒﺤﺚ ﻋﻦ ﺃﻱ ﺃﺩﻟﺔ!,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00005,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,5,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﺃﻟﺴﻨﺎ ﺗﺎﺋﻬﻴﻦ؟,ﺃﻟﺴﻨﺎ ﺗﺎﺋﻬﻴﻦ؟,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00006,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,6,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﺍﻫﺪﺃ. ﻫﻞ ﻟﺪﻳﻚ ﻓﻜﺮﺓ ﺃﻓﻀﻞ؟,ﺍﻫﺪﺃ. ﻫﻞ ﻟﺪﻳﻚ ﻓﻜﺮﺓ ﺃﻓﻀﻞ؟,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00007,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,7,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﻟﻮ ﻛﺎﻧﺖ ﻟﺪﻳﻨﺎ ﻭﺳﻴﻠﺔ ﻟﺘﺤﻄﻴﻢ ﻫﺬﻩ ﺍﻟﺼﺨﻮﺭ...,ﻟﻮ ﻛﺎﻧﺖ ﻟﺪﻳﻨﺎ ﻭﺳﻴﻠﺔ ﻟﺘﺤﻄﻴﻢ ﻫﺬﻩ ﺍﻟﺼﺨﻮﺭ...,gamedata/localizationstring_eng.paloc
trolluniversity_0200_enemy_00_00008,trolluniversity,Trolluniversity,Scene Dialogue,Trolluniversity,Trolluniversity,0200,Trolluniversity 0200,trolluniversity_0200,0200,trolluniversity_0200_enemy_00,0200_enemy_00,0200,0200,,8,enemy_00,,enemy_00,Enemy 00,Enemy 00,Enemy,0,role,,ﺍﻧﺘﻈﺮ، ﻫﻨﺎﻙ ﺃﺣﺪ.,ﺍﻧﺘﻈﺮ، ﻫﻨﺎﻙ ﺃﺣﺪ.,gamedata/localizationstring_eng.paloc
