key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
witch_forest_9000_boss_00_00001,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,1,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,Knowledge:Knowledge_CountGrace:Name:Grace,ﺁﻩ... ﺃﺭﺳﻠﻚ ﺃﻭﻟﺌﻚ ﺍﻟﺤﺜﺎﻟﺔ ﻣﻦ {Staticinfo:Knowledge:Knowledge_CountGrace:Name#Grace}، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,ﺁﻩ... ﺃﺭﺳﻠﻚ ﺃﻭﻟﺌﻚ ﺍﻟﺤﺜﺎﻟﺔ ﻣﻦ {Staticinfo:Knowledge:Knowledge_CountGrace:Name#Grace}، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟,gamedata/localizationstring_eng.paloc
witch_forest_9000_boss_00_00002,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,2,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻻ... ﻻ... ﻟﻴﺲ ﻫﻜﺬﺍ...,ﻻ... ﻻ... ﻟﻴﺲ ﻫﻜﺬﺍ...,gamedata/localizationstring_eng.paloc
witch_forest_9000_boss_00_00003,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,3,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﻟﻢ ﺗﺘﺢ ﻟﻲ ﺣﺘﻰ ﻓﺮﺻﺔ ﺍﻟﺘﺒﺎﻫﻲ ﺑﺜﺮﻭﺗﻲ!,ﻟﻢ ﺗﺘﺢ ﻟﻲ ﺣﺘﻰ ﻓﺮﺻﺔ ﺍﻟﺘﺒﺎﻫﻲ ﺑﺜﺮﻭﺗﻲ!,gamedata/localizationstring_eng.paloc
witch_forest_9000_boss_00_00004,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,4,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,,,gamedata/localizationstring_eng.paloc
witch_forest_9000_boss_00_00005,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,5,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺩﺍﺋﻤﺎ ﻳﺘﺒﺨﺘﺮﻭﻥ، ﻳﺴﻤﻮﻥ ﺃﻧﻔﺴﻬﻢ ﻧﺒﻼﺀ... ﻣﺠﺮﺩ ﺧﻨﺎﺯﻳﺮ!,ﺩﺍﺋﻤﺎ ﻳﺘﺒﺨﺘﺮﻭﻥ، ﻳﺴﻤﻮﻥ ﺃﻧﻔﺴﻬﻢ ﻧﺒﻼﺀ... ﻣﺠﺮﺩ ﺧﻨﺎﺯﻳﺮ!,gamedata/localizationstring_eng.paloc
witch_forest_9000_boss_00_00006,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,6,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺳﺄﺟﺮﺩﻫﻢ ﻣﻦ ﻛﻞ ﺷﻲﺀ، ﻭﺃﺳﺮﻕ ﻣﻨﻬﻢ ﺁﺧﺮ ﻣﺎ ﻳﻤﻠﻜﻮﻥ ﻭﻫﻢ ﻣﺎ ﻳﺰﺍﻟﻮﻥ ﻳﺮﻣﺸﻮﻥ!,ﺳﺄﺟﺮﺩﻫﻢ ﻣﻦ ﻛﻞ ﺷﻲﺀ، ﻭﺃﺳﺮﻕ ﻣﻨﻬﻢ ﺁﺧﺮ ﻣﺎ ﻳﻤﻠﻜﻮﻥ ﻭﻫﻢ ﻣﺎ ﻳﺰﺍﻟﻮﻥ ﻳﺮﻣﺸﻮﻥ!,gamedata/localizationstring_eng.paloc
witch_forest_9000_boss_00_00007,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_boss_00,forest_9000_boss_00,forest_9000,forest,9000,7,boss_00,,boss_00,Boss 00,Boss 00,Boss,0,role,,ﺣﺎﻟﻤﺎ ﻧﺬﺑﺢ ﺗﻠﻚ ﺍﻟﺤﺜﺎﻟﺔ ﺑﺄﻛﻤﻠﻬﺎ،<br/>ﻟﻦ ﻳﺠﺮﺅﻭﺍ ﻋﻠﻰ ﺍﻟﻨﻈﺮ ﻧﺤﻮﻧﺎ ﻣﺠﺪﺩﺍ!,"ﺣﺎﻟﻤﺎ ﻧﺬﺑﺢ ﺗﻠﻚ ﺍﻟﺤﺜﺎﻟﺔ ﺑﺄﻛﻤﻠﻬﺎ،
ﻟﻦ ﻳﺠﺮﺅﻭﺍ ﻋﻠﻰ ﺍﻟﻨﻈﺮ ﻧﺤﻮﻧﺎ ﻣﺠﺪﺩﺍ!",gamedata/localizationstring_eng.paloc
witch_forest_9000_globalgametrack_00008,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_globalgametrack,forest_9000_globalgametrack,forest_9000,forest,9000,8,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺍﻟﻤﺎﻝ. ﺗﻠﻚ ﻫﻲ ﺍﻟﻘﻮﺓ ﺍﻟﺤﻘﻴﻘﻴﺔ ﺍﻟﻮﺣﻴﺪﺓ!,ﺍﻟﻤﺎﻝ. ﺗﻠﻚ ﻫﻲ ﺍﻟﻘﻮﺓ ﺍﻟﺤﻘﻴﻘﻴﺔ ﺍﻟﻮﺣﻴﺪﺓ!,gamedata/localizationstring_eng.paloc
witch_forest_9000_globalgametrack_00009,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_globalgametrack,forest_9000_globalgametrack,forest_9000,forest,9000,9,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺃﻭﻟﺌﻚ ﺍﻟﻨﺒﻼﺀ ﺍﻷﻏﺒﻴﺎﺀ ﻳﺠﺐ ﺇﺑﺎﺩﺗﻬﻢ!,ﺃﻭﻟﺌﻚ ﺍﻟﻨﺒﻼﺀ ﺍﻷﻏﺒﻴﺎﺀ ﻳﺠﺐ ﺇﺑﺎﺩﺗﻬﻢ!,gamedata/localizationstring_eng.paloc
witch_forest_9000_globalgametrack_00010,witch,Witch,Scene Dialogue,Witch,Witch,9000,Witch 9000,witch_forest_9000,forest_9000,witch_forest_9000_globalgametrack,forest_9000_globalgametrack,forest_9000,forest,9000,10,globalgametrack,,globalgametrack,Global Game Track,Global Game Track,Global Track,,role,,ﺗﻈﻦ ﺃﻧﻚ ﺗﺴﺘﻄﻴﻊ ﺇﺳﻘﺎﻃﻲ؟,ﺗﻈﻦ ﺃﻧﻚ ﺗﺴﺘﻄﻴﻊ ﺇﺳﻘﺎﻃﻲ؟,gamedata/localizationstring_eng.paloc
