key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
redfox_forest_0400_npc_00_00008,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻳﺘﻬﺎ ﺍﻟﺘﺤﻒ ﺍﻟﻤﺼﻨﻮﻋﺔ ﺑﺄﻳﺪ ﺇﻟﻬﻴﺔ!,ﺃﻳﺘﻬﺎ ﺍﻟﺘﺤﻒ ﺍﻟﻤﺼﻨﻮﻋﺔ ﺑﺄﻳﺪ ﺇﻟﻬﻴﺔ!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00009,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺿﻮﺀ ﺍﻟﻨﺠﻮﻡ ﻳﺮﺍﻗﺺ ﻋﻴﻨﻴﻚ!,ﺿﻮﺀ ﺍﻟﻨﺠﻮﻡ ﻳﺮﺍﻗﺺ ﻋﻴﻨﻴﻚ!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00010,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﺑﺘﺴﺎﻣﺎﺗﻜﻢ ﺍﻟﻤﺸﺮﻗﺔ ﺗﺨﺠﻞ ﺍﻟﺸﻤﺲ...!,ﺍﺑﺘﺴﺎﻣﺎﺗﻜﻢ ﺍﻟﻤﺸﺮﻗﺔ ﺗﺨﺠﻞ ﺍﻟﺸﻤﺲ...!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00011,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻛﻴﻒ ﻟﻘﻠﺒﻲ ﺃﻥ ﻳﺨﺘﺎﺭ؟,ﻛﻴﻒ ﻟﻘﻠﺒﻲ ﺃﻥ ﻳﺨﺘﺎﺭ؟,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00013,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,13,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Kliff:ﻛﻠﻴﻒ,{Staticinfo:Knowledge:Knowledge_Kliff#ﻛﻠﻴﻒ}؟!,{Staticinfo:Knowledge:Knowledge_Kliff#ﻛﻠﻴﻒ}؟!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00015,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,15,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﺠﺮﺣﻨﻲ ﻳﺎ ﺳﻴﺪﻱ!,ﺗﺠﺮﺣﻨﻲ ﻳﺎ ﺳﻴﺪﻱ!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00016,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,16,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﺗﺴﺊ ﺍﻟﻔﻬﻢ.,ﻻ ﺗﺴﺊ ﺍﻟﻔﻬﻢ.,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00017,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,17,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻧﺎ ﻣﺠﺮﺩ ﻓﺮﺍﺷﺔ ﻭﻓﻴﺔ، ﻣﺨﻠﺼﺔ ﻟﺰﻫﺮﺓ ﻭﺍﺣﺪﺓ!,ﺃﻧﺎ ﻣﺠﺮﺩ ﻓﺮﺍﺷﺔ ﻭﻓﻴﺔ، ﻣﺨﻠﺼﺔ ﻟﺰﻫﺮﺓ ﻭﺍﺣﺪﺓ!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00018,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,18,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00019,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,19,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻧﺘﻈﺮ! ﺑﺘﻼﺕ ﻭﺭﺩﻱ ﺍﻟﺠﻤﻴﻠﺔ!,ﺍﻧﺘﻈﺮ! ﺑﺘﻼﺕ ﻭﺭﺩﻱ ﺍﻟﺠﻤﻴﻠﺔ!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00021,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,21,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,Knowledge:Knowledge_Kliff:ﻛﻠﻴﻒ,{Staticinfo:Knowledge:Knowledge_Kliff#ﻛﻠﻴﻒ}!,{Staticinfo:Knowledge:Knowledge_Kliff#ﻛﻠﻴﻒ}!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00022,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,22,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻞ ﻻ ﺑﺪ ﺃﻥ ﺗﻌﻜﺮ ﺻﻔﻮ ﻛﻞ ﺷﻲﺀ؟!,ﻫﻞ ﻻ ﺑﺪ ﺃﻥ ﺗﻌﻜﺮ ﺻﻔﻮ ﻛﻞ ﺷﻲﺀ؟!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00023,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,23,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺑﺪﻭﻥ ﺍﻟﺠﻤﺎﻝ، ﻗﻠﺒﻲ ﻳﻨﺴﻰ ﺇﻳﻘﺎﻋﻪ!,ﺑﺪﻭﻥ ﺍﻟﺠﻤﺎﻝ، ﻗﻠﺒﻲ ﻳﻨﺴﻰ ﺇﻳﻘﺎﻋﻪ!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00024,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,24,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻴﺲ ﻫﺬﺍ ﻣﺎ ﻳﻬﻢ ﺍﻵﻥ.,ﻟﻴﺲ ﻫﺬﺍ ﻣﺎ ﻳﻬﻢ ﺍﻵﻥ.,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00025,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,25,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻧﺠﻮﺕ؟ ﻭﺍﻵﺧﺮﻭﻥ؟,ﻧﺠﻮﺕ؟ ﻭﺍﻵﺧﺮﻭﻥ؟,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00026,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,26,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00027,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,27,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﻔﺎﻧﻮﺱ ﺍﻟﺬﻱ ﻇﻨﻨﺘﻪ ﻗﺪ ﺍﻧﻄﻔﺄ ﻻ ﻳﺰﺍﻝ ﻣﺸﺘﻌﻼ،,ﺍﻟﻔﺎﻧﻮﺱ ﺍﻟﺬﻱ ﻇﻨﻨﺘﻪ ﻗﺪ ﺍﻧﻄﻔﺄ ﻻ ﻳﺰﺍﻝ ﻣﺸﺘﻌﻼ،,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00028,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,28,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻭﻧﺒﺾ ﺍﻟﻘﻠﺐ ﺍﻟﺬﻱ ﻏﺎﺏ ﻓﻲ ﺻﻤﺖ ﻃﻮﻳﻞ ﻳﻌﻮﺩ ﻟﻠﺤﻴﺎﺓ.,ﻭﻧﺒﺾ ﺍﻟﻘﻠﺐ ﺍﻟﺬﻱ ﻏﺎﺏ ﻓﻲ ﺻﻤﺖ ﻃﻮﻳﻞ ﻳﻌﻮﺩ ﻟﻠﺤﻴﺎﺓ.,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00029,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,29,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﺮﺑﻴﻊ ﻳﻌﻮﺩ ﺇﻟﻰ ﺻﺪﺭﻱ ﺍﻟﺬﻱ ﻛﺎﻥ ﺧﺎﻭﻳﺎ...,ﺍﻟﺮﺑﻴﻊ ﻳﻌﻮﺩ ﺇﻟﻰ ﺻﺪﺭﻱ ﺍﻟﺬﻱ ﻛﺎﻥ ﺧﺎﻭﻳﺎ...,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00030,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,30,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺁﻩ، ﺍﺿﺤﻚ ﻗﻠﻴﻼ!,ﺁﻩ، ﺍﺿﺤﻚ ﻗﻠﻴﻼ!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00031,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,31,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻧﺖ ﺗﻔﺴﺪ ﺍﻟﻔﺮﺡ ﺣﺘﻰ ﻓﻲ ﺍﻷﻋﺮﺍﺱ!,ﺃﻧﺖ ﺗﻔﺴﺪ ﺍﻟﻔﺮﺡ ﺣﺘﻰ ﻓﻲ ﺍﻷﻋﺮﺍﺱ!,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00032,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,32,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻋﻠﻰ ﺃﻱ ﺣﺎﻝ، ﺗﻞ ﺍﻟﻌﻮﺍﺀ ﻓﻲ ﻫﺮﻧﺎﻧﺪ... ﻟﺪﻱ ﺷﻌﻮﺭ ﺟﻴﺪ.,ﻋﻠﻰ ﺃﻱ ﺣﺎﻝ، ﺗﻞ ﺍﻟﻌﻮﺍﺀ ﻓﻲ ﻫﺮﻧﺎﻧﺪ... ﻟﺪﻱ ﺷﻌﻮﺭ ﺟﻴﺪ.,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00033,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,33,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻻ ﺗﻨﺘﻈﺮﻧﺎ ﺃﺯﻫﺎﺭ ﺟﻤﻴﻠﺔ؟,ﺃﻻ ﺗﻨﺘﻈﺮﻧﺎ ﺃﺯﻫﺎﺭ ﺟﻤﻴﻠﺔ؟,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00034,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,34,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺇﺫﻥ ﻣﻦ ﺍﻷﻓﻀﻞ ﺃﻥ ﺃﺳﺘﻌﺪ ﻟﺮﻋﺎﻳﺔ ﺑﺘﻼﺗﻬﺎ.,ﺇﺫﻥ ﻣﻦ ﺍﻷﻓﻀﻞ ﺃﻥ ﺃﺳﺘﻌﺪ ﻟﺮﻋﺎﻳﺔ ﺑﺘﻼﺗﻬﺎ.,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00035,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,35,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﺪﺑﻴﺮ ﻣﺆﺍﻣﺮﺍﺕ؟ ﻛﻠﻤﺔ ﻣﺆﺍﻣﺮﺍﺕ ﺗﺒﺪﻭ ﺷﺮﻳﺮﺓ.,ﺗﺪﺑﻴﺮ ﻣﺆﺍﻣﺮﺍﺕ؟ ﻛﻠﻤﺔ ﻣﺆﺍﻣﺮﺍﺕ ﺗﺒﺪﻭ ﺷﺮﻳﺮﺓ.,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00036,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,36,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﻋﺮﻑ ﺟﻴﺪﺍ ﺍﻟﺠﻬﺪ ﺍﻟﻤﻄﻠﻮﺏ... ﻟﺘﻔﺘﺢ ﺗﻠﻚ ﺍﻟﺒﺘﻼﺕ.,ﺃﻋﺮﻑ ﺟﻴﺪﺍ ﺍﻟﺠﻬﺪ ﺍﻟﻤﻄﻠﻮﺏ... ﻟﺘﻔﺘﺢ ﺗﻠﻚ ﺍﻟﺒﺘﻼﺕ.,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00037,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,37,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺑﺎﻟﻔﻌﻞ، ﺃﺳﻔﻞ ﻫﺬﺍ ﺍﻟﻤﺴﺎﺭ ﺗﻘﻊ ﺗﻠﺔ ﺗﻄﻠﺐ ﺃﻛﻮﺍﻣﺎ ﻣﻨﻪ.,ﺑﺎﻟﻔﻌﻞ، ﺃﺳﻔﻞ ﻫﺬﺍ ﺍﻟﻤﺴﺎﺭ ﺗﻘﻊ ﺗﻠﺔ ﺗﻄﻠﺐ ﺃﻛﻮﺍﻣﺎ ﻣﻨﻪ.,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00038,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,38,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,"""ﺟﻬﺪﻱ"" ﺃﻋﻨﻲ.","""ﺟﻬﺪﻱ"" ﺃﻋﻨﻲ.",gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_00_00039,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_00,forest_0400_npc_00,forest_0400,forest,0400,39,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺗﻌﺎﻝ ﺇﻥ ﻛﻨﺖ ﻓﻀﻮﻟﻴﺎ.,ﺗﻌﺎﻝ ﺇﻥ ﻛﻨﺖ ﻓﻀﻮﻟﻴﺎ.,gamedata/localizationstring_eng.paloc
redfox_forest_0400_npc_01_00040,redfox,Redfox,Scene Dialogue,Redfox,Redfox,0400,Redfox 0400,redfox_forest_0400,forest_0400,redfox_forest_0400_npc_01,forest_0400_npc_01,forest_0400,forest,0400,40,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,,,gamedata/localizationstring_eng.paloc
