key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
folorin_1600_01_narration_00000,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1600,Folorin 1600,folorin_1600_01,1600_01,folorin_1600_01_narration,1600_01_narration,1600_01,1600,01,0,narration,,narration,Narration,Narration,Narration,,role,,ﺃﻣﺴﻜﺖ ﺑﻬﻢ!,ﺃﻣﺴﻜﺖ ﺑﻬﻢ!,gamedata/localizationstring_eng.paloc
folorin_1600_01_npc_00_00001,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1600,Folorin 1600,folorin_1600_01,1600_01,folorin_1600_01_npc_00,1600_01_npc_00,1600_01,1600,01,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ، ﻻ ﺃﻋﺘﻘﺪ...,ﻻ، ﻻ ﺃﻋﺘﻘﺪ...,gamedata/localizationstring_eng.paloc
folorin_1600_01_npc_00_00002,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1600,Folorin 1600,folorin_1600_01,1600_01,folorin_1600_01_npc_00,1600_01_npc_00,1600_01,1600,01,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ... ﺃﺗﻈﻦ ﺃﻧﻬﻢ...؟,ﻻ... ﺃﺗﻈﻦ ﺃﻧﻬﻢ...؟,gamedata/localizationstring_eng.paloc
folorin_1600_01_npc_00_00003,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1600,Folorin 1600,folorin_1600_01,1600_01,folorin_1600_01_npc_00,1600_01_npc_00,1600_01,1600,01,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻫﻴﺎ ﻧﻨﻘﻠﻬﻢ.,ﻫﻴﺎ ﻧﻨﻘﻠﻬﻢ.,gamedata/localizationstring_eng.paloc
folorin_1600_01_npc_00_00005,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1600,Folorin 1600,folorin_1600_01,1600_01,folorin_1600_01_npc_00,1600_01_npc_00,1600_01,1600,01,5,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
folorin_1600_01_player_00004,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1600,Folorin 1600,folorin_1600_01,1600_01,folorin_1600_01_player,1600_01_player,1600_01,1600,01,4,player,,player,Player,Player,Player,,role,,,,gamedata/localizationstring_eng.paloc
folorin_1700_npc_00_00001,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1700,Folorin 1700,folorin_1700,1700,folorin_1700_npc_00,1700_npc_00,1700,1700,,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,,,gamedata/localizationstring_eng.paloc
folorin_1700_npc_00_00002,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1700,Folorin 1700,folorin_1700,1700,folorin_1700_npc_00,1700_npc_00,1700,1700,,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﺎﺫﺍ ﻋﻠﻲ ﺃﻥ ﺃﻓﻌﻞ؟,ﻣﺎﺫﺍ ﻋﻠﻲ ﺃﻥ ﺃﻓﻌﻞ؟,gamedata/localizationstring_eng.paloc
folorin_1700_npc_00_00003,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1700,Folorin 1700,folorin_1700,1700,folorin_1700_npc_00,1700_npc_00,1700,1700,,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺍﻟﺰﻋﻴﻢ ﻻ ﻳﺠﺐ ﺃﻥ ﻳﻌﺮﻑ ﺑﻬﺬﺍ.,ﺍﻟﺰﻋﻴﻢ ﻻ ﻳﺠﺐ ﺃﻥ ﻳﻌﺮﻑ ﺑﻬﺬﺍ.,gamedata/localizationstring_eng.paloc
folorin_1700_npc_00_00004,folorin,Folorin,Scene Dialogue,Folorin,Folorin,1700,Folorin 1700,folorin_1700,1700,folorin_1700_npc_00,1700_npc_00,1700,1700,,4,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﺘﻮﻙ ﺍﻧﻄﺮﺩﺕ، ﺻﺢ؟,ﻟﺘﻮﻙ ﺍﻧﻄﺮﺩﺕ، ﺻﺢ؟,gamedata/localizationstring_eng.paloc
