key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
rumsxo_village_2800_02_npc_00_00001,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,1,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻏﺮﻳﺐ، ﺇﺫﻥ!,ﻏﺮﻳﺐ، ﺇﺫﻥ!,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00002,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,2,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻻ ﺃﺫﻛﺮ ﺃﻥ ﻣﺠﻲﺀ ﺍﻟﺒﺸﺮ ﺇﻟﻰ ﻫﻨﺎ ﻛﺎﻥ ﺃﻣﺮﺍ ﺣﺴﻨﺎ ﻳﻮﻣﺎ.,ﻻ ﺃﺫﻛﺮ ﺃﻥ ﻣﺠﻲﺀ ﺍﻟﺒﺸﺮ ﺇﻟﻰ ﻫﻨﺎ ﻛﺎﻥ ﺃﻣﺮﺍ ﺣﺴﻨﺎ ﻳﻮﻣﺎ.,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00003,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,3,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﺃﺭﺍﻫﻦ ﺃﻧﻚ ﻓﻀﻮﻟﻲ ﺑﺸﺄﻥ ﺗﻠﻚ ﺍﻷﺣﺠﺎﺭ ﺍﻟﺴﻤﺎﻭﻳﺔ... ﻣﺜﻞ ﺍﻟﻌﻠﻤﺎﺀ ﺗﻤﺎﻣﺎ؟,ﺃﺭﺍﻫﻦ ﺃﻧﻚ ﻓﻀﻮﻟﻲ ﺑﺸﺄﻥ ﺗﻠﻚ ﺍﻷﺣﺠﺎﺭ ﺍﻟﺴﻤﺎﻭﻳﺔ... ﻣﺜﻞ ﺍﻟﻌﻠﻤﺎﺀ ﺗﻤﺎﻣﺎ؟,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00006,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,6,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻧﻌﻢ! ﺍﻷﺛﺮ ﺍﻟﻤﻘﺪﺱ ﺍﻟﻤﺘﻮﺍﺭﺙ ﻓﻲ ﻫﺬﻩ ﺍﻟﻘﺮﻳﺔ ﻋﺒﺮ ﺍﻷﺟﻴﺎﻝ.,ﻧﻌﻢ! ﺍﻷﺛﺮ ﺍﻟﻤﻘﺪﺱ ﺍﻟﻤﺘﻮﺍﺭﺙ ﻓﻲ ﻫﺬﻩ ﺍﻟﻘﺮﻳﺔ ﻋﺒﺮ ﺍﻷﺟﻴﺎﻝ.,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00007,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,7,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻴﺲ ﺑﻮﺳﻊ ﻏﺮﻳﺐ ﺃﻥ ﻳﻔﻬﻢ ﺫﻟﻚ...,ﻟﻴﺲ ﺑﻮﺳﻊ ﻏﺮﻳﺐ ﺃﻥ ﻳﻔﻬﻢ ﺫﻟﻚ...,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00008,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,8,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻗﻴﻞ ﺇﻧﻪ ﻳﺤﻤﻲ ﺍﻟﻘﺮﻳﺔ ﻣﻦ ﺍﻷﺫﻯ. ﻭﺍﻵﻥ ﺑﻌﺪ ﺃﻥ ﺍﻧﻜﺴﺮ...,ﻗﻴﻞ ﺇﻧﻪ ﻳﺤﻤﻲ ﺍﻟﻘﺮﻳﺔ ﻣﻦ ﺍﻷﺫﻯ. ﻭﺍﻵﻥ ﺑﻌﺪ ﺃﻥ ﺍﻧﻜﺴﺮ...,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00009,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,9,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻧﺤﻦ ﻗﻠﻘﻮﻥ ﺣﺘﻰ ﺍﻟﻤﻮﺕ، ﺑﻴﻨﻤﺎ ﺍﻟﻌﻠﻤﺎﺀ ﻣﺘﺤﻤﺴﻮﻥ<br/>ﻳﺜﺮﺛﺮﻭﻥ ﻋﻦ ﺃﺑﺤﺎﺛﻬﻢ ﺍﻟﻤﺴﺘﻘﺒﻠﻴﺔ!,"ﻧﺤﻦ ﻗﻠﻘﻮﻥ ﺣﺘﻰ ﺍﻟﻤﻮﺕ، ﺑﻴﻨﻤﺎ ﺍﻟﻌﻠﻤﺎﺀ ﻣﺘﺤﻤﺴﻮﻥ
ﻳﺜﺮﺛﺮﻭﻥ ﻋﻦ ﺃﺑﺤﺎﺛﻬﻢ ﺍﻟﻤﺴﺘﻘﺒﻠﻴﺔ!",gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00010,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,10,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻴﺴﻮﺍ ﻣﻦ ﺍﻟﻨﻮﻉ ﺍﻟﺬﻱ ﻳﺴﺘﻤﻊ، ﻟﺬﺍ ﺃﺑﻘﻲ ﻓﻤﻲ ﻣﻐﻠﻘﺎ...,ﻟﻴﺴﻮﺍ ﻣﻦ ﺍﻟﻨﻮﻉ ﺍﻟﺬﻱ ﻳﺴﺘﻤﻊ، ﻟﺬﺍ ﺃﺑﻘﻲ ﻓﻤﻲ ﻣﻐﻠﻘﺎ...,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00011,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,11,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻟﻜﻦ ﻣﻊ ﺯﻭﺍﻝ ﺍﻟﺤﺠﺮ، ﻣﻦ ﻳﺪﺭﻱ ﻣﺎ ﻗﺪ ﻳﺘﺴﻠﻞ...,ﻟﻜﻦ ﻣﻊ ﺯﻭﺍﻝ ﺍﻟﺤﺠﺮ، ﻣﻦ ﻳﺪﺭﻱ ﻣﺎ ﻗﺪ ﻳﺘﺴﻠﻞ...,gamedata/localizationstring_eng.paloc
rumsxo_village_2800_02_npc_00_00012,rumsxo,Rumsxo,Scene Dialogue,Rumsxo,Rumsxo,2800,Rumsxo 2800,rumsxo_village_2800_02,village_2800_02,rumsxo_village_2800_02_npc_00,village_2800_02_npc_00,village_2800_02,village,2800_02,12,npc_00,,npc_00,NPC 00,NPC 00,NPC,0,role,,ﻣﻨﺬ ﻭﻗﺖ ﻟﻴﺲ ﺑﺒﻌﻴﺪ، ﺳﻘﻄﺖ ﻫﺬﻩ ﺍﻟﺼﺨﻮﺭ ﻣﻦ ﺍﻟﺴﻤﺎﺀ.,ﻣﻨﺬ ﻭﻗﺖ ﻟﻴﺲ ﺑﺒﻌﻴﺪ، ﺳﻘﻄﺖ ﻫﺬﻩ ﺍﻟﺼﺨﻮﺭ ﻣﻦ ﺍﻟﺴﻤﺎﺀ.,gamedata/localizationstring_eng.paloc
